Quarter,male_share_mean,male_share_p05,male_share_p95,female_share_mean,female_share_p05,female_share_p95
2033Q4,0.7126006364388586,0.670427956026084,0.7493183253903181,0.2873993635611414,0.25068167460968194,0.32957204397391604
2034Q1,0.7126006364388588,0.6717965715118183,0.7501790472904191,0.28739936356114115,0.24982095270958093,0.32820342848818174
2034Q2,0.7126006364388588,0.6709466730823167,0.7507374161548367,0.28739936356114115,0.2492625838451633,0.3290533269176833
2034Q3,0.712600636438859,0.6702141319589068,0.7519692672434438,0.28739936356114104,0.24803073275655618,0.3297858680410932
2034Q4,0.712600636438859,0.6690116723729138,0.7529112602348431,0.28739936356114104,0.24708873976515688,0.3309883276270862
2035Q1,0.712600636438859,0.6695448787386469,0.7525995586931948,0.28739936356114104,0.24740044130680516,0.3304551212613531
2035Q2,0.712600636438859,0.6701013192716392,0.7518612413275573,0.28739936356114104,0.24813875867244273,0.3298986807283608
2035Q3,0.712600636438859,0.6677997268519181,0.7549099104900658,0.28739936356114104,0.24509008950993416,0.33220027314808187
2035Q4,0.712600636438859,0.6682250301263152,0.7555178190494716,0.28739936356114104,0.24448218095052843,0.3317749698736848
2036Q1,0.712600636438859,0.6666619748519573,0.7561068624299919,0.28739936356114104,0.24389313757000808,0.33333802514804267
2036Q2,0.712600636438859,0.6634866206874706,0.7551997383796717,0.28739936356114104,0.2448002616203283,0.33651337931252945
2036Q3,0.712600636438859,0.6626643085128732,0.7609055316664718,0.28739936356114104,0.2390944683335282,0.33733569148712683
2036Q4,0.712600636438859,0.664865884989494,0.7589375984052747,0.28739936356114104,0.24106240159472525,0.33513411501050605
2037Q1,0.712600636438859,0.6637861535765726,0.7585946001212744,0.28739936356114104,0.24140539987872556,0.33621384642342744
2037Q2,0.712600636438859,0.6642802031027012,0.7576698733925582,0.28739936356114104,0.2423301266074418,0.3357197968972988
2037Q3,0.712600636438859,0.6635792897723983,0.7581525105549132,0.28739936356114104,0.24184748944508683,0.33642071022760167
2037Q4,0.712600636438859,0.6649180708524847,0.7562554340687137,0.28739936356114104,0.24374456593128635,0.33508192914751533
2038Q1,0.712600636438859,0.6647729291359626,0.7554511435428966,0.28739936356114104,0.24454885645710345,0.33522707086403736
2038Q2,0.712600636438859,0.6619391798503569,0.7586608013334464,0.28739936356114104,0.24133919866655362,0.3380608201496431
2038Q3,0.712600636438859,0.6578892097893422,0.7555477953099209,0.28739936356114104,0.2444522046900791,0.3421107902106578
2038Q4,0.712600636438859,0.6605383825623121,0.7561936792533288,0.28739936356114104,0.2438063207466712,0.3394616174376879
2039Q1,0.712600636438859,0.662668640229514,0.7580749833873212,0.28739936356114104,0.24192501661267884,0.337331359770486
2039Q2,0.712600636438859,0.6636857783411222,0.7582213671197136,0.28739936356114104,0.24177863288028645,0.3363142216588778
2039Q3,0.712600636438859,0.6622569081362354,0.7571418446113143,0.28739936356114104,0.24285815538868571,0.3377430918637646
2039Q4,0.712600636438859,0.6628535551836713,0.7562957897176401,0.28739936356114104,0.2437042102823599,0.3371464448163287
2040Q1,0.712600636438859,0.6605201144291097,0.7578208611911702,0.28739936356114104,0.2421791388088298,0.33947988557089026
2040Q2,0.712600636438859,0.6609161014108719,0.759478215223829,0.28739936356114104,0.24052178477617103,0.33908389858912813
2040Q3,0.712600636438859,0.6606137307266524,0.7588378586975563,0.28739936356114104,0.24116214130244373,0.3393862692733476
