time,Age (Aggregate bands): 15-24,Age (Aggregate bands): 25-54,Age (Aggregate bands): 55-64,Age (Aggregate bands): 65+,Age (Aggregate bands): 15-24_share_percent,Age (Aggregate bands): 25-54_share_percent,Age (Aggregate bands): 55-64_share_percent,Age (Aggregate bands): 65+_share_percent,total,calculated_total,difference_total_vs_calculated
2016Q1,233.936,2049.626,499.14,90.153,8.142979718781492,71.34456838232352,17.374354083307374,3.13809781558763,2872.855,2872.855,0.0
2016Q2,274.549,2140.624,509.528,108.2,9.052356143507486,70.58008157866016,16.800020838134845,3.5675414396975045,3032.901,3032.901,0.0
2016Q3,266.803,2144.258,498.644,102.519,8.857342614626269,71.18521066162408,16.55401457527727,3.403432148472358,3012.224,3012.224,0.0
2016Q4,286.683,2096.779,481.853,83.323,9.722556651579476,71.11008540214159,16.34154480814532,2.825813138133606,2948.638,2948.638,0.0
2017Q1,261.824,2057.317,498.017,83.36,9.026801419608498,70.92929607745927,17.16993309470929,2.873969408222945,2900.518,2900.518,0.0
2017Q2,247.33,2089.922,489.188,81.749,8.504605443456391,71.86334863380614,16.821052551949,2.8109933707884873,2908.189,2908.189,0.0
2017Q3,260.26,2094.858,498.574,89.06,8.844102391231065,71.18703852720175,16.942440273594244,3.0264188079729455,2942.752,2942.7520000000004,-4.547473508864641e-13
2017Q4,254.464,2112.889,489.706,86.682,8.64423874247089,71.77564194676094,16.635498843138713,2.944620467629455,2943.741,2943.741,0.0
2018Q1,254.467,2054.027,513.835,94.975,8.722676827646348,70.40839761642943,17.613351231136694,3.2555743247875433,2917.304,2917.304,0.0
2018Q2,234.372,2030.05,524.731,90.444,8.139055569234168,70.49771200622864,18.22237625612195,3.1408561684152327,2879.597,2879.597,0.0
2018Q3,249.218,2005.262,518.391,103.843,8.663287347994968,69.70668617040137,18.02024810252253,3.609778379081132,2876.714,2876.714,0.0
2018Q4,257.675,2047.019,503.648,92.309,8.883350668522343,70.57102009169665,17.363274657999188,3.182354581781814,2900.651,2900.6510000000003,-4.547473508864641e-13
2019Q1,273.679,2049.682,538.543,87.178,9.280142091674628,69.50237395908286,18.261377608354056,2.9561063408884527,2949.082,2949.082,0.0
2019Q2,238.242,2019.728,550.948,108.136,8.167212537032224,69.23862225382183,18.887137502425393,3.707027706720547,2917.054,2917.054,0.0
2019Q3,235.674,2007.996,535.307,103.838,8.175134373867209,69.65400138406385,18.56889880203898,3.60196544002997,2882.815,2882.815,0.0
2019Q4,241.922,2012.116,535.798,101.507,8.367115212550017,69.59105163240751,18.531111666792906,3.5107214882495783,2891.343,2891.3430000000003,-4.547473508864641e-13
2020Q1,268.58,2056.358,546.589,98.863,9.04191032154027,69.22855247964073,18.401253707425628,3.3282834913933863,2970.39,2970.39,0.0
2020Q2,259.402,2029.747,511.807,92.969,8.963673903090093,70.13820330519968,17.685565451765335,3.212557339944884,2893.925,2893.925,0.0
2020Q3,230.727,1926.332,505.169,105.853,8.335269090752764,69.59088263674366,18.249791100766195,3.8240571717373877,2768.081,2768.081,0.0
2020Q4,221.079,1863.174,486.966,99.544,8.277746846125995,69.76186205964363,18.233216500303474,3.727174593926904,2670.763,2670.763,0.0
2021Q1,217.634,1922.684,517.259,102.481,7.885124153188085,69.66099987753881,18.740874285975153,3.7130016832979598,2760.058,2760.058,0.0
2021Q2,198.239,1796.694,509.136,85.367,7.65568255017695,69.38553414720425,19.662042236224416,3.2967410663943806,2589.436,2589.436,0.0
2021Q3,204.199,1793.63,507.337,98.304,7.843339850276747,68.89382247538862,19.486953949920686,3.775883724413956,2603.47,2603.4700000000003,-4.547473508864641e-13
2021Q4,204.106,1762.761,509.851,88.346,7.957150386890932,68.72191103223936,19.876736019062292,3.4442025618074252,2565.064,2565.064,0.0
2022Q1,257.471,1905.899,491.731,94.753,9.363078912553176,69.3090978648321,17.882076648432975,3.4457465741817566,2749.854,2749.854,0.0
2022Q2,271.984,1884.603,495.704,101.474,9.876805028751544,68.43732126742842,18.00095505607777,3.6849186477422733,2753.765,2753.7650000000003,-4.547473508864641e-13
2022Q3,249.445,1853.466,487.316,76.309,9.354645877648004,69.50838091066461,18.27524548702886,2.8617277246585084,2666.536,2666.536,0.0
2022Q4,201.983,1891.408,492.231,81.125,7.574134329203333,70.92566336439114,18.45810644954321,3.0420958568623124,2666.747,2666.7470000000003,-4.547473508864641e-13
2023Q1,200.509,1863.935,492.963,87.837,7.579981279609744,70.46363208838201,18.635823387180917,3.32056324482732,2645.244,2645.244,0.0
2023Q2,181.79,1773.998,482.471,79.42,7.220539234747559,70.4616434422339,19.16332463352159,3.154492689496953,2517.679,2517.679,0.0
2023Q3,197.766,1738.417,473.16,89.065,7.915680705473245,69.58098917390593,18.93846001133522,3.564870109285593,2498.408,2498.408,0.0
2023Q4,243.018,1825.175,535.033,86.842,9.033898027856544,67.84865661388486,19.889199826918873,3.228245531339728,2690.068,2690.0679999999998,4.547473508864641e-13
2024Q1,229.298,1839.844,539.357,95.38,8.480335103752793,68.04461294310877,19.947527237720326,3.527524715418109,2703.879,2703.879,0.0
2024Q2,203.839,1873.594,534.297,91.646,7.540164594196293,69.30571256088683,19.76406537603352,3.3900574688833514,2703.376,2703.376,0.0
2024Q3,220.586,1853.023,552.298,124.866,8.019055007446998,67.36371921638026,20.077919915601903,4.5393058605708285,2750.773,2750.773,0.0
2024Q4,221.763,1836.173,528.17,124.245,8.18207678636457,67.74668668375425,19.487143916046296,4.584092613834887,2710.351,2710.351,0.0
2025Q1,222.178,1813.732,511.024,131.541,8.294943951315581,67.7150990769001,19.078916174315612,4.911040797468709,2678.475,2678.475,0.0
2025Q2,232.922,1785.11,541.254,129.991,8.661138291072284,66.37880738949539,20.12637597391418,4.833678345518145,2689.277,2689.277,0.0
2025Q3,209.748,1735.024,536.56,132.35,8.025000746073928,66.38236786265506,20.52889372157745,5.063737669693559,2613.682,2613.682,0.0
