time,Education (Aggregate levels): Basic and below basic,Education (Aggregate levels): Intermediate,Education (Aggregate levels): Advanced,Education (Aggregate levels): Level not stated,Education (Aggregate levels): Basic and below basic_share_percent,Education (Aggregate levels): Intermediate_share_percent,Education (Aggregate levels): Advanced_share_percent,Education (Aggregate levels): Level not stated_share_percent,total,calculated_total,difference_total_vs_calculated
2013Q3,840.611,1217.732,630.997,264.671,28.4565968102353,41.22300153926305,21.36068552215953,8.959716128342109,2954.011,2954.011,0.0
2013Q4,802.45,1228.877,644.173,281.291,27.139219511964153,41.56117223029967,21.78622026379274,9.513387993943432,2956.791,2956.791,0.0
2014Q1,817.3729999999999,1184.838,666.856,275.673,27.757051556334346,40.235742374539015,22.645666510455932,9.361539558670716,2944.74,2944.74,0.0
2014Q2,593.905,1417.7,915.639,68.094,19.82764549443168,47.330217825166976,30.568803921293693,2.273332759107653,2995.338,2995.3379999999997,4.547473508864641e-13
2014Q3,819.048,1219.248,689.852,291.427,27.124611907304836,40.37813268423537,22.845996539248073,9.651258869211727,3019.575,3019.5750000000003,-4.547473508864641e-13
2014Q4,841.2370000000001,1263.988,714.293,258.049,27.334482076263495,41.07101486336447,23.209665297294908,8.384837763077131,3077.567,3077.567,0.0
2015Q1,814.293,1220.63,695.534,275.118,27.092752634687205,40.612195669713785,23.141462116234,9.153589579365013,3005.575,3005.5750000000003,-4.547473508864641e-13
2015Q2,809.8349999999999,1221.712,683.478,299.354,26.865732543917005,40.529475556988686,22.673923882829598,9.93086801626471,3014.379,3014.3789999999995,4.547473508864641e-13
2015Q3,775.96,1167.058,701.117,324.414,26.13936977290926,39.31408913917203,23.618171706109617,10.928369381809091,2968.549,2968.549,0.0
2015Q4,780.428,1195.555,685.415,330.092,26.088270393683416,39.96520128765265,22.912160829553166,11.034367489110778,2991.49,2991.4900000000002,-4.547473508864641e-13
2016Q1,738.048,1143.618,681.865,309.324,25.69040205649084,39.80771741003287,23.73475166689582,10.767128866580459,2872.855,2872.855,0.0
2016Q2,778.189,1206.594,727.958,320.16,25.658239421596683,39.783494416731706,24.002036334189608,10.556229827482007,3032.901,3032.901,0.0
2016Q3,806.3729999999999,1172.582,706.29,326.979,26.77002108740917,38.92745028258191,23.44745941868865,10.855069211320274,3012.224,3012.2239999999997,4.547473508864641e-13
2016Q4,788.5509999999999,1165.781,665.183,329.123,26.742889428949905,39.53625368729563,22.558991642921242,11.161865240833226,2948.638,2948.638,0.0
2017Q1,784.7349999999999,1152.847,656.181,306.755,27.054995004340597,39.7462453258349,22.622890118247845,10.575869551576648,2900.518,2900.518,0.0
2017Q2,749.8710000000001,1165.723,680.538,312.057,25.784809721789063,40.08415546582427,23.400748713374544,10.730286099012137,2908.189,2908.1890000000003,-4.547473508864641e-13
